hour_number,price,to_drop,demand,capacity
20240223-1,25.32,DSO-RD;,14740,24684
20240223-2,23.86,DSO-RD;,14314,24748
20240223-3,20.92,DSO-RD;,14103,24909
20240223-4,19.73,DSO-RD;,14063,25234
20240223-5,20.07,DSO-RD;,14210,25448
20240223-6,23.43,DSO-RD;,14836,25446
20240223-7,27.76,DSO-RD;,16247,25381
20240223-8,33.45,DSO-RD;,17420,25363
20240223-9,33.72,DSO-RD;,17582,25454
20240223-10,27.92,DSO-RD;,17143,25571
20240223-11,23.99,DSO-RD;,16159,25081
20240223-12,18.98,DSO-RD;,15767,25385
20240223-13,17.21,DSO-RD;,15538,26193
20240223-14,17.1,DSO-RD;,15459,26534
20240223-15,17.1,DSO-RD;,15414,26747
20240223-16,16.24,DSO-RD;,15653,26996
20240223-17,16.6,DSO-RD;,16279,27077
20240223-18,18.14,DSO-RD;,17534,27080
20240223-19,21.44,DSO-RD;,18149,27240
20240223-20,24.91,DSO-RD;,18339,27298
20240223-21,24.63,DSO-RD;,18222,27024
20240223-22,23.74,DSO-RD;,17626,26680
20240223-23,20.81,DSO-RD;,16946,27130
20240223-24,20.13,DSO-RD;,16307,26988
20231223-1,29.5,DSO-RD;,14681,25294
20231223-2,29.71,DSO-RD;,14224,25182
20231223-3,33.03,DSO-RD;,13891,25022
20231223-4,30.93,DSO-RD;,13731,25071
20231223-5,27.77,DSO-RD;,13872,25169
20231223-6,24.38,DSO-RD;,13989,25277
20231223-7,24.61,DSO-RD;,14457,25540
20231223-8,27.79,DSO-RD;,15187,25670
20231223-9,29.31,DSO-RD;,15867,25702
20231223-10,31.67,DSO-RD;,16600,25634
20231223-11,34.72,DSO-RD;,17050,25487
20231223-12,34.43,DSO-RD;,17404,25414
20231223-13,32.13,DSO-RD;,17488,25359
20231223-14,30.62,DSO-RD;,17444,25197
20231223-15,29.66,DSO-RD;,17365,25053
20231223-16,31.35,DSO-RD;,17365,24858
20231223-17,42.81,DSO-RD;,17730,24733
20231223-18,33.84,DSO-RD;,18051,24675
20231223-19,31.91,DSO-RD;,17591,24625
20231223-20,29.29,DSO-RD;,17189,24646
20231223-21,29.26,DSO-RD;,16719,24692
20231223-22,30.81,DSO-RD;,16184,24614
20231223-23,28.15,DSO-RD;,15328,24595
20231223-24,25.5,DSO-RD;,14558,24590
20231222-1,31.18,DSO-RD;,15506,27019
20231222-2,31.46,DSO-RD;,15115,26825
20231222-3,28.89,DSO-RD;,14923,26632
20231222-4,28.55,DSO-RD;,14814,26676
20231222-5,28.55,DSO-RD;,15010,26726
20231222-6,31.56,DSO-RD;,15461,26584
20231222-7,34.35,DSO-RD;,16490,26444
20231222-8,34.72,DSO-RD;,17748,26418
20231222-9,35.86,DSO-RD;,18173,26485
20231222-10,36.31,DSO-RD;,18198,26548
20231222-11,34.18,DSO-RD;,18078,26525
20231222-12,34.05,DSO-RD;,17956,26542
20231222-13,33.27,DSO-RD;,17758,26646
20231222-14,34.41,DSO-RD;,17725,26513
20231222-15,33.03,DSO-RD;,17668,26403
20231222-16,32.81,DSO-RD;,17933,26581
20231222-17,34.13,DSO-RD;,18467,26694
20231222-18,33.55,DSO-RD;,18941,26774
20231222-19,33.37,DSO-RD;,18543,26982
20231222-20,34.13,DSO-RD;,18138,26984
20231222-21,33.46,DSO-RD;,17819,27030
20231222-22,31.08,DSO-RD;,17209,27072
20231222-23,31.2,DSO-RD;,16256,26978
20231222-24,30.84,DSO-RD;,15297,25941
20240222-1,19.96,DSO-RD;,14314,28109
