hour_number_dec,hour_number,price,demand,capacity
2023-12-09 01:00:00,20231209-1,17.79,14149,27275
2023-12-09 02:00:00,20231209-2,14.34,13664,27333
2023-12-09 03:00:00,20231209-3,22.23,13325,27244
2023-12-09 04:00:00,20231209-4,17.85,13157,27133
2023-12-09 05:00:00,20231209-5,26.74,13242,26984
2023-12-09 06:00:00,20231209-6,15.74,13452,26867
2023-12-09 07:00:00,20231209-7,14.34,13934,26913
2023-12-09 08:00:00,20231209-8,24.72,14491,27138
2023-12-09 09:00:00,20231209-9,27.7,15167,27519
2023-12-09 10:00:00,20231209-10,28.2,15763,27715
2023-12-09 11:00:00,20231209-11,28.21,16098,28082
2023-12-09 12:00:00,20231209-12,28.21,16439,28077
2023-12-09 13:00:00,20231209-13,20.75,16583,28087
2023-12-09 14:00:00,20231209-14,27.63,16360,28181
2023-12-09 15:00:00,20231209-15,17.11,16252,28263
2023-12-09 16:00:00,20231209-16,23.89,16476,28276
2023-12-09 17:00:00,20231209-17,26.47,16871,28005
2023-12-09 18:00:00,20231209-18,28.88,17204,28026
2023-12-09 19:00:00,20231209-19,30.15,16800,27572
2023-12-09 20:00:00,20231209-20,31.04,16453,26846
2023-12-09 21:00:00,20231209-21,30.53,16146,25816
2023-12-09 22:00:00,20231209-22,31.37,15725,25699
2023-12-09 23:00:00,20231209-23,28.23,14758,25524
2023-12-10 00:00:00,20231210-0,27.86,13975,25966
2023-12-10 01:00:00,20231210-1,14.34,13485,25818
2023-12-10 02:00:00,20231210-2,17.45,13076,26306
2023-12-10 03:00:00,20231210-3,14.36,13042,25773
2023-12-10 04:00:00,20231210-4,14.31,12652,25836
2023-12-10 05:00:00,20231210-5,14.37,13022,25675
2023-12-10 06:00:00,20231210-6,4.88,13199,25675
2023-12-10 07:00:00,20231210-7,1.73,13589,25773
2023-12-10 08:00:00,20231210-8,12.27,14200,25874
2023-12-10 09:00:00,20231210-9,21.54,14854,25883
2023-12-10 10:00:00,20231210-10,28.21,15399,26320
2023-12-10 11:00:00,20231210-11,28.24,16012,26075
2023-12-10 12:00:00,20231210-12,28.41,16476,25923
2023-12-10 13:00:00,20231210-13,41.5,16764,25814
2023-12-10 14:00:00,20231210-14,73.32,16841,25367
2023-12-10 15:00:00,20231210-15,41.18,17069,25138
2023-12-10 16:00:00,20231210-16,32.14,17226,24870
2023-12-10 17:00:00,20231210-17,32.22,17704,24786
2023-12-10 18:00:00,20231210-18,33.07,18232,24696
2023-12-10 19:00:00,20231210-19,39.23,17871,24854
2023-12-10 20:00:00,20231210-20,38.47,17485,24863
2023-12-10 21:00:00,20231210-21,35.13,17148,24855
2023-12-10 22:00:00,20231210-22,33.74,16593,25064
2023-12-10 23:00:00,20231210-23,28.72,15464,25150
2023-12-11 00:00:00,20231211-0,29.62,14551,25241
2023-12-11 01:00:00,20231211-1,28.2,14063,25016
2023-12-11 02:00:00,20231211-2,28.81,13840,25642
2023-12-11 03:00:00,20231211-3,26.71,13747,25685
2023-12-11 04:00:00,20231211-4,26.18,13650,25596
2023-12-11 05:00:00,20231211-5,22.65,13836,26009
2023-12-11 06:00:00,20231211-6,22.91,14422,26196
2023-12-11 07:00:00,20231211-7,29.11,15654,26555
2023-12-11 08:00:00,20231211-8,33.5,17247,25775
2023-12-11 09:00:00,20231211-9,37.77,17888,25608
2023-12-11 10:00:00,20231211-10,35.73,18000,25550
2023-12-11 11:00:00,20231211-11,34.42,17907,25461
2023-12-11 12:00:00,20231211-12,33.25,17780,25364
2023-12-11 13:00:00,20231211-13,33.3,17815,25525
2023-12-11 14:00:00,20231211-14,33.73,17889,25533
2023-12-11 15:00:00,20231211-15,34.43,18100,25626
2023-12-11 16:00:00,20231211-16,34.4,18473,25606
2023-12-11 17:00:00,20231211-17,36.5,19274,25494
2023-12-11 18:00:00,20231211-18,41.86,19888,25182
2023-12-11 19:00:00,20231211-19,45.07,19465,25007
2023-12-11 20:00:00,20231211-20,37.31,19074,24936
2023-12-11 21:00:00,20231211-21,35.94,18574,25089
2023-12-11 22:00:00,20231211-22,33.3,17872,25415
2023-12-11 23:00:00,20231211-23,31.96,16906,25791
2023-12-12 00:00:00,20231212-0,29.53,15806,26007
2023-12-12 01:00:00,20231212-1,26.74,15250,25287
2023-12-12 02:00:00,20231212-2,26.54,14777,26481
2023-12-12 03:00:00,20231212-3,22.12,14384,26762
2023-12-12 04:00:00,20231212-4,18.52,14318,27115
2023-12-12 05:00:00,20231212-5,14.35,14506,27445
2023-12-12 06:00:00,20231212-6,13.27,15032,27649
2023-12-12 07:00:00,20231212-7,26.24,16289,27645
2023-12-12 08:00:00,20231212-8,28.54,17570,27755
2023-12-12 09:00:00,20231212-9,27.7,17968,27910
2023-12-12 10:00:00,20231212-10,26.82,17724,27879
2023-12-12 11:00:00,20231212-11,26.49,17547,27925
2023-12-12 12:00:00,20231212-12,27.18,17491,27879
2023-12-12 13:00:00,20231212-13,26.2,17588,27958
2023-12-12 14:00:00,20231212-14,25.84,17574,27839
2023-12-12 15:00:00,20231212-15,28.17,17549,27662
2023-12-12 16:00:00,20231212-16,29.18,17827,27717
2023-12-12 17:00:00,20231212-17,31.63,18828,27537
2023-12-12 18:00:00,20231212-18,34.45,19461,27546
2023-12-12 19:00:00,20231212-19,31.52,19053,27323
2023-12-12 20:00:00,20231212-20,31.13,18847,27257
2023-12-12 21:00:00,20231212-21,31.13,18480,27123
2023-12-12 22:00:00,20231212-22,30.66,17923,27057
2023-12-12 23:00:00,20231212-23,28.67,16888,26922
2023-12-13 00:00:00,20231213-0,27.08,15741,26718
2023-12-13 01:00:00,20231213-1,27.77,15093,26784
2023-12-13 02:00:00,20231213-2,26.33,14857,26828
2023-12-13 03:00:00,20231213-3,31.9,14586,26772
2023-12-13 04:00:00,20231213-4,34.77,14503,26542
2023-12-13 05:00:00,20231213-5,27.45,14550,26365
2023-12-13 06:00:00,20231213-6,26.74,15438,26346
2023-12-13 07:00:00,20231213-7,29.88,16541,26521
2023-12-13 08:00:00,20231213-8,39.79,18266,26578
2023-12-13 09:00:00,20231213-9,33.88,18446,26077
2023-12-13 10:00:00,20231213-10,31.51,18044,25957
2023-12-13 11:00:00,20231213-11,32.06,17572,25015
2023-12-13 12:00:00,20231213-12,42.86,17663,24920
2023-12-13 13:00:00,20231213-13,29.9,17468,24924
2023-12-13 14:00:00,20231213-14,29.66,17293,24846
2023-12-13 15:00:00,20231213-15,28.41,17377,24743
2023-12-13 16:00:00,20231213-16,32.22,18170,24191
2023-12-13 17:00:00,20231213-17,98.73,19410,24616
2023-12-13 18:00:00,20231213-18,106.68,20004,24474
2023-12-13 19:00:00,20231213-19,34.07,19491,24160
2023-12-13 20:00:00,20231213-20,38.95,19321,24160
2023-12-13 21:00:00,20231213-21,40.21,19220,24138
2023-12-13 22:00:00,20231213-22,49.29,18640,24164
2023-12-13 23:00:00,20231213-23,35.41,17400,23929
2023-12-14 00:00:00,20231214-0,31.51,16274,24024
2023-12-14 01:00:00,20231214-1,27.8,15541,24300
2023-12-14 02:00:00,20231214-2,35.0,15157,24594
2023-12-14 03:00:00,20231214-3,27.01,14868,24567
2023-12-14 04:00:00,20231214-4,27.69,14699,24692
2023-12-14 05:00:00,20231214-5,26.59,14888,24692
2023-12-14 06:00:00,20231214-6,30.16,15375,24986
2023-12-14 07:00:00,20231214-7,30.93,16599,25108
2023-12-14 08:00:00,20231214-8,33.37,17860,24899
2023-12-14 09:00:00,20231214-9,34.6,18215,24898
2023-12-14 10:00:00,20231214-10,31.6,17924,25093
2023-12-14 11:00:00,20231214-11,31.03,17741,25341
2023-12-14 12:00:00,20231214-12,31.47,17652,25565
2023-12-14 13:00:00,20231214-13,30.83,17436,26039
2023-12-14 14:00:00,20231214-14,26.35,17222,26242
2023-12-14 15:00:00,20231214-15,24.95,16935,26412
2023-12-14 16:00:00,20231214-16,25.89,17309,26522
2023-12-14 17:00:00,20231214-17,29.74,18073,26662
2023-12-14 18:00:00,20231214-18,29.27,18686,26855
2023-12-14 19:00:00,20231214-19,28.98,18470,26948
2023-12-14 20:00:00,20231214-20,28.29,18299,26948
2023-12-14 21:00:00,20231214-21,30.2,18037,27550
2023-12-14 22:00:00,20231214-22,27.13,17377,27566
2023-12-14 23:00:00,20231214-23,26.32,16321,27469
2023-12-15 00:00:00,20231215-0,22.66,15491,27493
2023-12-15 01:00:00,20231215-1,21.77,14765,27380
2023-12-15 02:00:00,20231215-2,18.56,14347,27286
2023-12-15 03:00:00,20231215-3,20.51,14164,26993
2023-12-15 04:00:00,20231215-4,15.53,13949,26866
2023-12-15 05:00:00,20231215-5,14.35,14149,26782
2023-12-15 06:00:00,20231215-6,19.96,14805,26920
2023-12-15 07:00:00,20231215-7,27.79,15848,26816
2023-12-15 08:00:00,20231215-8,30.63,17132,26703
2023-12-15 09:00:00,20231215-9,30.98,17474,26521
2023-12-15 10:00:00,20231215-10,30.66,16924,26222
2023-12-15 11:00:00,20231215-11,27.3,16328,25796
2023-12-15 12:00:00,20231215-12,26.92,15990,25299
2023-12-15 13:00:00,20231215-13,26.01,15421,25305
2023-12-15 14:00:00,20231215-14,25.86,15442,25289
2023-12-15 15:00:00,20231215-15,25.24,15602,24881
2023-12-15 16:00:00,20231215-16,27.06,16459,25090
2023-12-15 17:00:00,20231215-17,29.47,17519,24933
2023-12-15 18:00:00,20231215-18,30.51,17965,24852
2023-12-15 19:00:00,20231215-19,28.06,17618,24848
2023-12-15 20:00:00,20231215-20,30.82,17411,24848
2023-12-15 21:00:00,20231215-21,30.84,17149,24628
2023-12-15 22:00:00,20231215-22,31.32,16690,25089
2023-12-15 23:00:00,20231215-23,31.47,15845,24860
2023-12-16 00:00:00,20231216-0,30.44,14968,24458
2023-12-16 01:00:00,20231216-1,33.86,14445,23966
2023-12-16 02:00:00,20231216-2,28.59,14011,23735
2023-12-16 03:00:00,20231216-3,31.54,13639,23622
2023-12-16 04:00:00,20231216-4,22.3,13418,23707
2023-12-16 05:00:00,20231216-5,27.77,13430,23748
2023-12-16 06:00:00,20231216-6,27.69,13826,23775
2023-12-16 07:00:00,20231216-7,26.98,14434,23872
2023-12-16 08:00:00,20231216-8,26.96,15151,24098
2023-12-16 09:00:00,20231216-9,26.48,15429,24388
2023-12-16 10:00:00,20231216-10,24.38,15673,24905
2023-12-16 11:00:00,20231216-11,26.95,15869,25252
2023-12-16 12:00:00,20231216-12,26.96,15960,25258
2023-12-16 13:00:00,20231216-13,27.8,15960,25324
2023-12-16 14:00:00,20231216-14,26.61,16075,25383
2023-12-16 15:00:00,20231216-15,28.4,16429,25509
2023-12-16 16:00:00,20231216-16,25.78,16735,25472
2023-12-16 17:00:00,20231216-17,27.12,17234,25732
2023-12-16 18:00:00,20231216-18,27.1,17588,26752
2023-12-16 19:00:00,20231216-19,28.0,17098,27199
2023-12-16 20:00:00,20231216-20,27.6,16765,27399
2023-12-16 21:00:00,20231216-21,27.05,16490,27309
2023-12-16 22:00:00,20231216-22,26.95,15973,27525
2023-12-16 23:00:00,20231216-23,22.19,15249,27830
2023-12-17 00:00:00,20231217-0,12.23,14516,27933
2023-12-17 01:00:00,20231217-1,11.1,14125,28101
2023-12-17 02:00:00,20231217-2,7.37,13550,28167
2023-12-17 03:00:00,20231217-3,0.81,13259,28215
2023-12-17 04:00:00,20231217-4,4.57,13115,28314
2023-12-17 05:00:00,20231217-5,4.95,13108,28244
2023-12-17 06:00:00,20231217-6,5.23,13221,28195
2023-12-17 07:00:00,20231217-7,12.5,13798,28166
2023-12-17 08:00:00,20231217-8,10.77,14359,28141
2023-12-17 09:00:00,20231217-9,11.59,14923,27918
2023-12-17 10:00:00,20231217-10,13.33,15699,28016
2023-12-17 11:00:00,20231217-11,26.33,16193,28053
2023-12-17 12:00:00,20231217-12,30.49,16531,28140
2023-12-17 13:00:00,20231217-13,46.5,16935,28000
2023-12-17 14:00:00,20231217-14,29.47,16864,27826
2023-12-17 15:00:00,20231217-15,26.92,16790,27746
